Frijol;c-otragr;40794.07807;0;36;Frijol;53478.11593;0;30;Productos de la silvicultura;252102.9279;0;49;Artículos textiles, excepto prendas de vestir;214329.3294;0;80;Servicios de reparación e instalación de maquinaria 
Maíz;c-otragr;113196.2511;1;36;Maíz;69227.19013;1;31;Productos de la pesca;494308.3983;1;49;Prendas de vestir;341879.4894;1;69;Servicios de manufactura
Trigo;c-otragr;46486.7411;2;36;Trigo;32996.54624;2;31;Productos de la acuicultura;61358.27749;2;49;Cuero y productos conexos, excepto calzado;765572.3861;2;70;Energía eléctrica, gas, vapor y aire acondionado
Otros cereales;c-otragr;675.8932705;3;36;Otros cereales;172835.1822;3;32;Piedra, arena y arcilla;160261.3827;3;49;Calzado;168889.5272;3;71;Agua potable y alcantarillado
Legumbres y otras semillas oleaginosas;c-otragr;120859.5913;4;36;Legumbres y otras semillas oleaginosas;2187.119499;4;32;Sal;169739.2965;4;50;Madera y corcho, productos de madera y corcho;101753.5693;4;80;Servicio de recogida, tratamiento de desechos
Arroz;c-arroz;93456.03185;5;35;Arroz;11.40374138;5;32;Petróleo y gas natural;783063.9518;5;50;Papel y productos de papel;7761.923115;5;80;Servicios de protección del medio ambiente
Sandía;c-otragr;17462.45832;6;36;Sandía;35686.96933;6;32;Otros minerales metálicos, no metálicos;240302.4979;6;50;Productos de la edición, impresión y grabaciones;842268.2998;6;72;Edificaciones residenciales
Melón;c-otragr;37861.54906;7;36;Melón;298499.1297;7;33;Carne y despojos comestibles de aves;775971.1823;7;51;Gasolina;1235973.852;7;72;Edificaciones no residenciales
Cebolla;c-otragr;26011.10168;8;36;Cebolla;197927.504;8;33;Carne y despojos comestibles de ganado vacuno;661460.0213;8;51;Diesel;205724.3484;8;72;Carreteras y vías férreas
Chayote;c-otragr;19791.94055;9;36;Chayote;131621.8125;9;33;Carne y despojos comestibles de ganado porcino;104924.9974;9;51;Bunker;746803.9914;9;72;Construcción de proyectos de servicio público
Papa;c-otragr;25772.45854;10;36;Papa;151195.6375;10;33;Embutidos y otros productos cárnicos;95954.41897;10;51;Aceites y grasas lubricantes;864574.9008;10;72;Servicios especiales y generales de la construcción
Raíces y tubérculos n.c.p.;c-otragr;70725.97446;11;36;Raíces y tubérculos n.c.p.;219125.6545;11;33;Pescados, crustáceos y moluscos conservados;77883.22162;11;51;Otros productos derivados del petróleo y de coque;3370196.637;11;73;Servicios de Comercio
Hortalizas n.c.p.;c-otragr;85458.59147;12;36;Hortalizas n.c.p.;439338.0925;12;33;Frutas, legumbres y hortalizas en conserva;548324.3246;12;52;Sustancias químicas básicas y abonos ;433678.969;12;73;Mantenimiento y reparación de vehículos
